Date Mid Price
2015-11-26 41.61
2015-11-19 38.68
2015-11-12 42.72
2015-11-05 42.4
2015-10-29 39.02
2015-10-22 41.21
2015-10-15 38.78
2015-10-08 34.29
2015-10-01 31.98
2015-09-24 39.19
2015-09-17 37.6
2015-09-10 30.34
2015-09-03 35.94
2015-08-27 29.23
2015-08-20 39.85
2015-08-13 33.4
2015-08-06 44.03
2015-07-30 38.19
2015-07-23 41.87
2015-07-16 45.95
2015-07-09 42.92
2015-07-02 42.3
2015-06-25 42.78
2015-06-18 40.29
2015-06-11 47.38
2015-06-04 48.03
2015-05-28 47.86
2015-05-21 49.79
2015-05-14 46.9
2015-05-07 46.1
2015-04-30 47.21
2015-04-23 45.34
2015-04-16 45.15
2015-04-09 47.15
2015-04-02 32.65
2015-03-26 37.19
2015-03-19 41.36
2015-03-12 43
2015-03-05 36.84
2015-02-26 34.33
2015-02-19 35.1
2015-02-12 39.67
2015-02-05 32.08
2015-01-29 33.44
2015-01-22 32.06
2015-01-15 32.4
2015-01-08 31.3
2015-01-01 28.96
2014-12-25 30.19
2014-12-18 34.39
2014-12-11 32.65
2014-12-04 31.38
2014-11-27 27.06
2014-11-20 27.06
2014-11-13 22.76
2014-11-06 32.26
2014-10-30 29.56
2014-10-23 27.81
2014-10-16 23.64
2014-10-09 29.14
2014-10-02 33.68
2014-09-25 29.93
2014-09-18 34.78
2014-09-11 33.01
2014-09-04 31.36
2014-08-28 28.85
2014-08-21 30.24
2014-08-14 33.23
2014-08-07 30.89
2014-07-31 37.76
2014-07-24 40.43
2014-07-17 39.16
2014-07-10 33.71
2014-07-03 39.1
2014-06-26 41.69
2014-06-19 40.7
2014-06-12 34.06
2014-06-05 38.27
2014-05-29 40.33
2014-05-22 43.17
2014-05-15 44.27
2014-05-08 42.99
2014-05-01 40.78
2014-04-24 39.47
2014-04-17 38.53
2014-04-10 37.42
2014-04-03 37.86
2014-03-27 40.23
2014-03-20 37.07
2014-03-13 31.84
2014-03-06 32.86
2014-02-27 39.18
