"Index" "PW.Open" "PW.High" "PW.Low" "PW.Close" "PW.Volume" "PW.Adjusted"
2013-03-06 10.85 10.85 10.1 10.79 6300 10.79
2013-03-07 10.75 10.75 10.65 10.7 300 10.7
2013-03-08 10.85 10.85 10.69 10.69 400 10.69
2013-03-11 10.74 10.84 10.64 10.64 1400 10.64
2013-03-12 10.64 10.64 10.64 10.64 0 10.64
2013-03-13 10.54 10.64 10.54 10.64 800 10.64
2013-03-14 10.64 10.64 10.64 10.64 0 10.64
2013-03-15 10.44 10.5 10.34 10.4 5900 10.4
2013-03-18 10.35 10.35 10.26 10.26 1300 10.26
2013-03-19 10.37 10.37 10.3 10.36 1000 10.36
2013-03-20 10.27 10.27 10.27 10.27 100 10.27
2013-03-21 10.25 10.25 10.25 10.25 200 10.25
2013-03-22 10.25 10.45 10.15 10.15 5100 10.15
