"Index" "MM.Open" "MM.High" "MM.Low" "MM.Close" "MM.Volume" "MM.Adjusted"
2013-03-04 9.1 9.22 8.9 8.96 1228600 8.96
2013-03-05 8.99 9.04 8.31 8.4 2429800 8.4
2013-03-06 8.45 8.65 7.99 8.65 2602900 8.65
2013-03-07 8.65 8.8 8.53 8.65 1517200 8.65
2013-03-08 8.73 8.73 8.3 8.34 1573300 8.34
2013-03-11 8.33 8.55 8.17 8.45 889900 8.45
2013-03-12 8.42 8.51 8.15 8.22 1126400 8.22
2013-03-13 8.2 8.26 8.08 8.13 1197700 8.13
2013-03-14 8.19 8.2 8.07 8.15 668800 8.15
2013-03-15 8.1 8.12 7.89 7.99 818400 7.99
2013-03-18 7.9 7.92 7.36 7.41 2532000 7.41
2013-03-19 7.46 7.47 6.67 6.81 3570900 6.81
2013-03-20 6.91 7.1 6.27 7 4184200 7
2013-03-21 7 7.37 6.86 7.19 2314500 7.19
2013-03-22 7.22 7.31 6.84 6.86 2070900 6.86
2013-03-25 7 7.07 6.56 6.61 1484300 6.61
2013-03-26 6.62 6.92 6.62 6.84 1010900 6.84
2013-03-27 6.83 6.85 6.4 6.63 1512600 6.63
2013-03-28 6.6 6.62 6.26 6.35 1793700 6.35
2013-04-01 6.37 6.48 6.01 6.05 2017900 6.05
2013-04-02 6.06 6.41 5.96 6.1 1916000 6.1
2013-04-03 6.12 6.31 5.87 6.19 1764700 6.19
2013-04-04 6.19 6.29 5.97 6.06 1095000 6.06
2013-04-05 5.98 6.55 5.91 6.43 1589100 6.43
2013-04-08 6.43 6.57 6.17 6.26 1158000 6.26
2013-04-09 6.26 6.4 6.21 6.26 675100 6.26
2013-04-10 6.3 6.57 6.16 6.34 1720200 6.34
2013-04-11 6.32 6.6 6.24 6.4 1184800 6.4
2013-04-12 6.38 6.66 6.28 6.51 1089400 6.51
2013-04-15 6.45 6.71 6.19 6.24 1351000 6.24
2013-04-16 6.3 6.35 6.18 6.26 530700 6.26
2013-04-17 6.19 6.24 6.01 6.09 1093600 6.09
2013-04-18 6.44 6.47 6.1 6.14 1157400 6.14
2013-04-19 6.11 6.45 6.02 6.4 1212500 6.4
2013-04-22 6.36 6.36 6.07 6.3 953300 6.3
2013-04-23 6.31 6.55 6.28 6.39 1082500 6.39
2013-04-24 6.37 7.09 6.34 6.85 1546600 6.85
2013-04-25 6.88 7.25 6.81 7.11 1879000 7.11
2013-04-26 7.04 7.31 6.99 7.11 1081900 7.11
2013-04-29 7.13 7.33 6.9 6.94 1141200 6.94
2013-04-30 6.96 7.09 6.72 6.93 1212900 6.93
2013-05-01 6.8 6.99 6.68 6.69 1001600 6.69
2013-05-02 6.72 7.07 6.61 6.96 1235000 6.96
2013-05-03 7.05 7.32 7 7.1 1022300 7.1
2013-05-06 7.13 7.23 6.86 6.9 1020500 6.9
2013-05-07 6.95 7.4 6.95 7.3 1884100 7.3
2013-05-08 7.32 7.54 7.13 7.5 2604900 7.5
2013-05-09 7.48 7.95 7.21 7.41 3016500 7.41
2013-05-10 7.44 7.44 7.02 7.15 1588600 7.15
2013-05-13 7.11 7.49 6.98 7.44 1424700 7.44
2013-05-14 7.53 8.35 7.5 7.96 2732100 7.96
2013-05-15 8 8.64 8 8.29 2704200 8.29
2013-05-16 8.29 8.54 8.07 8.12 1154100 8.12
2013-05-17 8.36 8.4 7.95 8.01 1296100 8.01
2013-05-20 7.99 8.12 7.73 7.93 1123200 7.93
2013-05-21 7.92 8.05 7.85 7.91 1056200 7.91
2013-05-22 8.04 8.09 7.44 7.51 1225700 7.51
2013-05-23 7.31 7.68 7.16 7.44 988000 7.44
2013-05-24 7.42 7.59 7.17 7.31 785200 7.31
2013-05-28 7.4 7.51 7.21 7.25 846600 7.25
2013-05-29 7.44 8.04 7.41 7.96 1757500 7.96
2013-05-30 8.01 8.4 7.93 8.18 1604600 8.18
2013-05-31 8.06 8.3 7.75 7.89 2648500 7.89
2013-06-03 8 8.21 7.99 8.07 1547000 8.07
2013-06-04 8.11 8.52 8.02 8.26 2444700 8.26
2013-06-05 8.33 8.36 7.95 8.02 1268900 8.02
2013-06-06 7.98 8.16 7.82 7.93 960500 7.93
2013-06-07 8.05 8.08 7.87 7.94 851200 7.94
2013-06-10 8.04 8.5 7.98 8.3 1598300 8.3
2013-06-11 8.15 8.65 8.1 8.51 2e+06 8.51
2013-06-12 8.6 8.75 8.25 8.38 1294200 8.38
2013-06-13 8.36 8.36 8.03 8.17 825400 8.17
2013-06-14 8.14 8.29 8.11 8.15 368800 8.15
2013-06-17 8.3 8.38 8.2 8.23 764100 8.23
2013-06-18 8.23 8.8 8.23 8.71 1575700 8.71
2013-06-19 8.72 8.95 8.55 8.8 1847700 8.8
2013-06-20 8.65 8.78 8.35 8.41 1269200 8.41
2013-06-21 8.43 8.55 8.2 8.55 1795600 8.55
2013-06-24 8.43 8.45 8.14 8.31 1369900 8.31
2013-06-25 8.36 8.6 8.33 8.54 1326800 8.54
2013-06-26 8.62 8.79 8.58 8.72 1289400 8.72
2013-06-27 8.79 8.79 8.55 8.7 1329800 8.7
2013-06-28 8.65 8.75 8.5 8.71 3542600 8.71
2013-07-01 8.75 8.75 8.53 8.64 1128700 8.64
2013-07-02 8.6 8.6 8.11 8.26 1911600 8.26
2013-07-03 8.2 8.39 8.13 8.18 561500 8.18
2013-07-05 8.31 8.68 8.19 8.67 1221800 8.67
2013-07-08 8.7 8.8 8.65 8.8 1145000 8.8
2013-07-09 8.84 9.05 8.8 8.94 2432400 8.94
2013-07-10 8.92 9.06 8.83 9 935200 9
2013-07-11 9.06 9.54 8.98 9.53 2440900 9.53
2013-07-12 9.5 9.53 9.25 9.33 1131700 9.33
2013-07-15 9.31 9.47 9.19 9.39 1079200 9.39
2013-07-16 9.37 9.43 9.17 9.26 964300 9.26
2013-07-17 9.26 9.32 9.18 9.25 702400 9.25
2013-07-18 9.28 9.4 9.18 9.32 763000 9.32
2013-07-19 9.29 9.55 9.2 9.49 827900 9.49
2013-07-22 9.46 9.77 9.4 9.67 1036300 9.67
2013-07-23 9.71 9.92 9.59 9.72 1058000 9.72
2013-07-24 9.76 10 9.61 9.85 1019600 9.85
2013-07-25 10.07 10.48 9.9 9.99 1715800 9.99
2013-07-26 9.92 10.14 9.83 10.11 737500 10.11
2013-07-29 10.12 10.39 10 10.26 286800 10.26
2013-07-30 10.31 10.36 10.06 10.2 870700 10.2
2013-07-31 10.2 10.25 9.81 9.91 997900 9.91
2013-08-01 10.01 10.02 9.22 9.34 2073200 9.34
2013-08-02 9.26 9.37 8.77 9.33 2021800 9.33
2013-08-05 9.27 9.56 9.17 9.24 1087300 9.24
2013-08-06 9.23 9.29 8.95 8.97 877600 8.97
2013-08-07 8.97 9.01 8.19 8.22 2139000 8.22
2013-08-08 8.3 8.96 8.3 8.89 1548500 8.89
2013-08-09 8.86 9.19 8.86 9.13 1057700 9.13
2013-08-12 9.13 9.25 9 9.25 1518000 9.25
2013-08-13 9.25 9.38 8.45 8.5 3727900 8.5
2013-08-14 6.47 7.34 6.36 6.9 15930400 6.9
2013-08-15 6.81 7.06 6.65 6.65 3821500 6.65
2013-08-16 6.65 7.09 6.51 6.93 3070000 6.93
2013-08-19 6.91 6.92 6.7 6.7 1249100 6.7
2013-08-20 6.7 6.83 6.62 6.77 893600 6.77
2013-08-21 6.76 6.82 6.6 6.62 998400 6.62
2013-08-22 6.65 7.04 6.62 6.95 1183800 6.95
2013-08-23 6.96 7.03 6.8 6.85 829700 6.85
2013-08-26 6.96 7.16 6.92 6.97 1326900 6.97
2013-08-27 6.87 6.96 6.54 6.59 1566600 6.59
2013-08-28 6.63 6.78 6.56 6.61 2172200 6.61
2013-08-29 6.62 6.83 6.57 6.73 1066800 6.73
2013-08-30 6.81 6.81 6.51 6.55 1042500 6.55
2013-09-03 6.69 6.75 6.57 6.64 1007800 6.64
2013-09-04 6.64 6.65 6.48 6.55 1076300 6.55
2013-09-05 6.54 6.66 6.46 6.64 1763700 6.64
2013-09-06 6.68 6.7 6.52 6.59 1999400 6.59
2013-09-09 6.59 6.59 6.48 6.53 1586200 6.53
2013-09-10 6.59 6.62 6.37 6.46 1492700 6.46
2013-09-11 6.44 6.9 6.39 6.89 2438500 6.89
2013-09-12 6.9 7.14 6.89 7.11 2792100 7.11
2013-09-13 7.11 7.11 6.8 6.97 1188200 6.97
2013-09-16 7.05 7.08 6.85 7.01 2137200 7.01
2013-09-17 6.99 7.82 6.95 7.81 3460800 7.81
2013-09-18 7.8 7.93 7.41 7.75 3326400 7.75
2013-09-19 7.73 7.93 7.64 7.76 1170800 7.76
2013-09-20 7.83 7.89 7.62 7.74 1702600 7.74
2013-09-23 7.66 7.75 7.23 7.48 1847500 7.48
2013-09-24 7.45 7.9 7.32 7.62 1438300 7.62
2013-09-25 7.63 7.89 7.55 7.6 1525600 7.6
2013-09-26 7.65 7.95 7.51 7.64 1704800 7.64
2013-09-27 7.52 7.78 7.39 7.45 2230900 7.45
2013-09-30 7.3 7.37 7.05 7.07 2151500 7.07
2013-10-01 7.05 7.35 7.05 7.26 1624000 7.26
2013-10-02 7.23 7.34 7.16 7.27 1269000 7.27
2013-10-03 7.26 7.48 6.95 7.01 1596900 7.01
2013-10-04 7.01 7.21 6.99 7.13 900800 7.13
2013-10-07 7 7.31 6.96 7.19 1316400 7.19
2013-10-08 7.21 7.32 6.55 6.58 3332900 6.58
2013-10-09 6.6 6.86 6.52 6.76 1575900 6.76
2013-10-10 6.85 7.22 6.8 6.96 2096300 6.96
2013-10-11 6.94 6.95 6.66 6.89 870200 6.89
2013-10-14 6.81 6.97 6.71 6.89 873700 6.89
2013-10-15 6.88 6.94 6.51 6.54 2565100 6.54
2013-10-16 6.64 6.74 6.51 6.74 2061500 6.74
2013-10-17 6.72 6.9 6.69 6.88 1405500 6.88
2013-10-18 6.92 7.09 6.82 6.86 1148400 6.86
2013-10-21 6.87 7.02 6.76 6.99 1802000 6.99
2013-10-22 7 7.1 6.76 6.9 1051100 6.9
2013-10-23 6.86 6.91 6.79 6.8 1068200 6.8
2013-10-24 6.81 6.87 6.73 6.83 886900 6.83
2013-10-25 6.84 7.04 6.75 6.95 1459200 6.95
2013-10-28 6.97 6.98 6.87 6.96 862500 6.96
2013-10-29 6.95 7.15 6.95 7.08 1604200 7.08
2013-10-30 7.1 7.33 7 7.06 1643300 7.06
2013-10-31 7.03 7.2 6.95 7.03 1052200 7.03
2013-11-01 7.01 7.12 6.93 7.04 1245000 7.04
2013-11-04 7.05 7.16 6.98 7.01 1086900 7.01
2013-11-05 6.98 7.1 6.95 7.02 1109000 7.02
2013-11-06 7.1 7.18 7.01 7.09 1214200 7.09
2013-11-07 7.09 7.11 6.83 6.88 1534400 6.88
2013-11-08 6.86 7.13 6.66 6.71 3247600 6.71
2013-11-11 6.75 6.94 6.72 6.89 2183600 6.89
2013-11-12 6.9 6.96 6.69 6.77 2204400 6.77
2013-11-13 6.72 7.21 6.72 7.18 2804700 7.18
2013-11-14 6.33 6.43 5.87 6.32 9876200 6.32
2013-11-15 6.29 6.31 6.07 6.17 3474000 6.17
2013-11-18 6.17 6.19 6.02 6.04 3068300 6.04
2013-11-19 6.04 6.45 5.78 6.29 2567300 6.29
2013-11-20 6.34 6.59 6.18 6.54 2347500 6.54
2013-11-21 6.59 6.87 6.46 6.69 1842600 6.69
2013-11-22 6.71 6.79 6.44 6.49 1151100 6.49
2013-11-25 6.49 6.54 6.23 6.36 1236800 6.36
2013-11-26 6.31 6.33 6.08 6.3 1337200 6.3
2013-11-27 6.27 6.46 6.21 6.34 1009200 6.34
2013-11-29 6.37 6.42 6.28 6.36 603500 6.36
2013-12-02 6.57 6.58 6.24 6.35 2117900 6.35
2013-12-03 6.35 6.37 6.18 6.25 1472700 6.25
2013-12-04 6.21 6.45 6.1 6.43 1393500 6.43
2013-12-05 6.42 6.42 6.23 6.27 610200 6.27
2013-12-06 6.32 6.32 6.15 6.19 894800 6.19
2013-12-09 6.19 6.48 6.17 6.48 1063900 6.48
2013-12-10 6.44 6.5 6.35 6.42 503500 6.42
2013-12-11 6.43 6.43 6.25 6.28 588600 6.28
2013-12-12 6.27 6.33 6.15 6.28 699600 6.28
2013-12-13 6.28 6.47 6.2 6.42 613800 6.42
2013-12-16 6.42 6.56 6.33 6.55 1340700 6.55
2013-12-17 6.57 6.59 6.47 6.56 627400 6.56
2013-12-18 6.59 7.2 6.53 7.11 2921500 7.11
2013-12-19 7.08 7.3 7.02 7.13 1079100 7.13
2013-12-20 7 7.03 6.68 6.68 3158100 6.68
2013-12-23 6.7 7.05 6.64 7.04 1217600 7.04
2013-12-24 7.04 7.08 6.93 6.97 489900 6.97
2013-12-26 7.02 7.19 7.02 7.16 914500 7.16
2013-12-27 7.19 7.26 7.1 7.24 832500 7.24
2013-12-30 7.39 7.4 7.01 7.08 819200 7.08
2013-12-31 7.1 7.34 7.04 7.27 1060400 7.27
2014-01-02 7.26 7.65 7.25 7.36 1727500 7.36
2014-01-03 7.4 7.66 7.28 7.5 1410200 7.5
2014-01-06 7.55 7.74 7.51 7.61 953900 7.61
2014-01-07 7.66 7.66 7.31 7.46 1094700 7.46
2014-01-08 7.49 7.5 7.3 7.36 701300 7.36
2014-01-09 7.38 7.39 7.2 7.25 885100 7.25
2014-01-10 7.27 7.46 7.2 7.46 1205100 7.46
2014-01-13 7.43 7.49 7.3 7.32 1071200 7.32
2014-01-14 7.33 7.39 7.07 7.27 1008400 7.27
2014-01-15 7.28 7.59 7.28 7.5 1037800 7.5
2014-01-16 7.52 7.68 7.46 7.58 846300 7.58
2014-01-17 7.55 7.56 7.3 7.34 495600 7.34
2014-01-21 7.37 7.43 7.19 7.41 1057200 7.41
2014-01-22 7.41 7.5 7.24 7.41 690300 7.41
2014-01-23 7.15 7.24 7.07 7.21 1457700 7.21
2014-01-24 7.09 7.1 6.6 6.71 2861900 6.71
2014-01-27 7.53 7.78 7.13 7.36 12493100 7.36
2014-01-28 7.4 8.44 7.33 8.37 7067100 8.37
2014-01-29 8.29 8.34 7.76 7.98 2759700 7.98
2014-01-30 8.15 8.25 7.96 8.16 2177700 8.16
2014-01-31 8.01 8.2 7.84 7.94 1258600 7.94
2014-02-03 7.98 8.07 7.57 7.77 2049600 7.77
2014-02-04 7.7 7.72 7.36 7.51 2252000 7.51
2014-02-05 7.48 7.48 6.93 6.98 2745400 6.98
2014-02-06 6.99 7.22 6.99 7.08 1200600 7.08
2014-02-07 7.1 7.13 6.96 7.04 1132200 7.04
2014-02-10 7.03 7.22 6.98 7.19 987900 7.19
2014-02-11 7.2 7.21 7.04 7.19 1135000 7.19
2014-02-12 7.19 7.23 7.1 7.1 736200 7.1
2014-02-13 7.09 7.28 7.05 7.24 1081000 7.24
2014-02-14 7.24 7.32 7.16 7.21 789100 7.21
2014-02-18 7.21 7.28 7.16 7.21 693000 7.21
2014-02-19 7.17 7.33 7.15 7.2 1735700 7.2
2014-02-20 6.36 6.4 6.03 6.15 6836400 6.15
2014-02-21 6.16 6.17 5.81 5.89 5691200 5.89
2014-02-24 5.9 6.28 5.85 6.08 3749700 6.08
2014-02-25 6.08 6.11 5.9 5.93 2261100 5.93
2014-02-26 5.96 6.35 5.91 6.23 2855500 6.23
2014-02-27 6.22 6.31 6.07 6.26 2218300 6.26
2014-02-28 6.16 6.24 5.95 6.04 1891400 6.04
2014-03-03 5.98 6.06 5.91 5.95 1442000 5.95
2014-03-04 6 6.27 5.95 6.27 2847100 6.27
2014-03-05 6.25 6.28 6.07 6.15 1351600 6.15
2014-03-06 6.18 6.33 6.1 6.25 2161100 6.25
2014-03-07 6.28 6.34 6.2 6.33 1642600 6.33
2014-03-10 6.34 6.76 6.25 6.76 2827400 6.76
2014-03-11 6.73 6.97 6.55 6.73 3082000 6.73
2014-03-12 6.65 6.86 6.52 6.84 2057500 6.84
2014-03-13 6.84 6.89 6.54 6.63 2198400 6.63
2014-03-14 6.58 7.36 6.57 7.17 4230400 7.17
2014-03-17 7.14 7.36 7.07 7.24 2320900 7.24
2014-03-18 7.25 7.75 7.2 7.54 4845400 7.54
2014-03-19 7.51 7.61 7.36 7.42 2290900 7.42
2014-03-20 7.42 7.5 7.15 7.39 2396400 7.39
2014-03-21 7.45 7.71 7.33 7.35 2718000 7.35
2014-03-24 7.4 7.44 7.03 7.14 1848900 7.14
2014-03-25 7.17 7.28 6.91 7.04 1356000 7.04
2014-03-26 7.08 7.12 6.83 6.86 1909400 6.86
2014-03-27 6.84 6.89 6.6 6.65 1513400 6.65
2014-03-28 6.67 6.94 6.67 6.91 1446000 6.91
2014-03-31 6.97 7.14 6.85 6.92 1410800 6.92
2014-04-01 6.96 7.04 6.8 6.96 865000 6.96
2014-04-02 6.97 7.14 6.9 7.11 1307500 7.11
2014-04-03 7.12 7.14 6.96 6.99 1381500 6.99
2014-04-04 7.06 7.06 6.48 6.53 4329200 6.53
2014-04-07 6.5 6.6 6.29 6.42 1878300 6.42
2014-04-08 6.44 6.65 6.38 6.61 886000 6.61
2014-04-09 6.64 6.74 6.57 6.7 622300 6.7
2014-04-10 6.72 6.74 6.27 6.45 1724400 6.45
2014-04-11 6.3 6.46 6.1 6.27 1506300 6.27
2014-04-14 6.33 6.59 6.2 6.32 1230100 6.32
2014-04-15 6.32 6.5 6.13 6.44 1694000 6.44
2014-04-16 6.48 6.56 6.31 6.47 1093900 6.47
2014-04-17 6.45 6.54 6.3 6.44 686700 6.44
2014-04-21 6.48 6.61 6.36 6.57 892300 6.57
2014-04-22 6.6 6.74 6.54 6.66 803600 6.66
2014-04-23 6.66 6.72 6.45 6.47 770900 6.47
2014-04-24 6.53 6.53 6.25 6.33 768600 6.33
2014-04-25 6.27 6.29 6 6.14 1915700 6.14
2014-04-28 6.2 6.2 5.96 6.13 1970600 6.13
2014-04-29 6.16 6.35 6.06 6.32 925100 6.32
2014-04-30 6.3 6.45 6.21 6.39 1316100 6.39
2014-05-01 6.38 6.4 6.07 6.16 1560300 6.16
2014-05-02 6.15 6.23 6.08 6.1 1425200 6.1
2014-05-05 6.05 6.1 5.89 5.92 2413200 5.92
2014-05-06 5.94 6.08 5.71 5.74 2966800 5.74
2014-05-07 5.77 5.79 5.3 5.35 4840700 5.35
2014-05-08 2.91 3.6 2.9 3.36 11968000 3.36
2014-05-09 3.33 3.48 3.11 3.38 5021700 3.38
2014-05-12 3.45 3.51 3.37 3.44 3516400 3.44
2014-05-13 3.44 3.68 3.4 3.55 3333700 3.55
2014-05-14 3.89 3.95 3.71 3.82 3986500 3.82
2014-05-15 3.78 3.85 3.6 3.84 2580900 3.84
2014-05-16 3.81 3.86 3.74 3.84 2119700 3.84
2014-05-19 3.87 4.09 3.84 4.05 2049100 4.05
2014-05-20 4.07 4.27 4.02 4.17 1964600 4.17
2014-05-21 4.18 4.28 4.12 4.24 1082300 4.24
2014-05-22 4.26 4.29 3.91 3.95 3016900 3.95
2014-05-23 4 4.03 3.81 3.96 1675300 3.96
2014-05-27 3.94 4.09 3.87 4.06 1435500 4.06
2014-05-28 4.07 4.09 4 4.03 918600 4.03
2014-05-29 4.07 4.14 3.99 4.04 1020700 4.04
2014-05-30 4.07 4.09 3.9 4.02 1347400 4.02
2014-06-02 4 4.01 3.85 3.99 1381900 3.99
2014-06-03 3.95 3.98 3.87 3.89 1138600 3.89
2014-06-04 3.86 4 3.82 3.86 876200 3.86
2014-06-05 3.94 4.1 3.88 4.01 1093700 4.01
2014-06-06 4.05 4.23 4.01 4.15 1110800 4.15
2014-06-09 4.15 4.29 4.12 4.16 740300 4.16
2014-06-10 4.15 4.21 4.12 4.21 814900 4.21
2014-06-11 4.2 4.71 4.2 4.43 2832700 4.43
2014-06-12 4.4 4.43 4.23 4.29 1006400 4.29
2014-06-13 4.28 4.32 4.18 4.23 862500 4.23
2014-06-16 4.21 4.5 4.17 4.39 2114000 4.39
2014-06-17 4.4 4.46 4.32 4.42 1242000 4.42
2014-06-18 4.42 4.45 4.32 4.36 1169500 4.36
2014-06-19 4.36 4.43 4.3 4.39 729100 4.39
2014-06-20 4.41 4.43 4.18 4.3 1537700 4.3
2014-06-23 4.31 4.5 4.31 4.48 1707600 4.48
2014-06-24 4.48 4.68 4.35 4.41 980400 4.41
2014-06-25 4.39 4.47 4.29 4.46 840200 4.46
2014-06-26 4.44 4.51 4.39 4.49 506300 4.49
2014-06-27 4.49 4.73 4.48 4.68 4885100 4.68
2014-06-30 4.75 5.09 4.74 4.99 3211500 4.99
2014-07-01 4.99 5 4.49 4.55 3201100 4.55
2014-07-02 4.46 4.64 4.41 4.55 1152400 4.55
2014-07-03 4.56 4.56 4.45 4.45 698800 4.45
2014-07-07 4.41 4.5 4.2 4.21 2040600 4.21
2014-07-08 4.21 4.21 3.78 3.85 2816400 3.85
2014-07-09 3.85 4.01 3.85 3.89 1192100 3.89
2014-07-10 3.78 3.85 3.66 3.74 1768400 3.74
2014-07-11 3.75 3.83 3.73 3.82 786900 3.82
2014-07-14 3.85 3.87 3.67 3.69 1993000 3.69
2014-07-15 3.69 3.71 3.54 3.63 1241500 3.63
2014-07-16 3.67 3.7 3.59 3.67 733200 3.67
2014-07-17 3.64 3.69 3.61 3.66 871300 3.66
2014-07-18 3.58 3.68 3.58 3.66 784000 3.66
2014-07-21 3.62 3.79 3.62 3.76 1120900 3.76
2014-07-22 3.8 3.9 3.76 3.79 1088400 3.79
2014-07-23 3.78 3.87 3.74 3.83 927600 3.83
2014-07-24 3.84 3.86 3.65 3.67 1064800 3.67
2014-07-25 3.65 3.71 3.53 3.56 1492500 3.56
2014-07-28 3.55 3.55 3.36 3.42 1294500 3.42
2014-07-29 3.42 3.48 3.34 3.39 932100 3.39
2014-07-30 3.43 3.55 3.43 3.52 1165800 3.52
2014-07-31 3.49 3.53 3.41 3.45 900100 3.45
2014-08-01 3.46 3.55 3.44 3.48 1199300 3.48
2014-08-04 3.5 3.51 3.32 3.36 1022200 3.36
2014-08-05 3.34 3.5 3.31 3.39 1401800 3.39
2014-08-06 3.38 3.49 3.37 3.49 827200 3.49
2014-08-07 3.5 3.5 3.27 3.31 2707000 3.31
2014-08-08 3.26 3.32 2.93 3.02 5727600 3.02
2014-08-11 3.03 3.12 2.94 2.95 2727900 2.95
2014-08-12 2.75 2.87 2.43 2.52 10524100 2.52
2014-08-13 2.52 2.56 2.46 2.48 2963000 2.48
2014-08-14 2.46 2.5 2.45 2.47 1132400 2.47
2014-08-15 2.5 2.5 2.32 2.37 2088800 2.37
2014-08-18 2.37 2.45 2.35 2.4 1386600 2.4
2014-08-19 2.41 2.45 2.39 2.39 1177300 2.39
2014-08-20 2.41 2.42 2.36 2.4 730500 2.4
2014-08-21 2.41 2.45 2.37 2.39 626700 2.39
2014-08-22 2.4 2.41 2.35 2.39 730700 2.39
2014-08-25 2.39 2.59 2.37 2.46 3395100 2.46
2014-08-26 2.44 2.55 2.44 2.5 1789600 2.5
2014-08-27 2.5 2.61 2.41 2.42 2218400 2.42
2014-08-28 2.44 2.47 2.35 2.36 1308600 2.36
2014-08-29 2.35 2.44 2.34 2.38 1319200 2.38
2014-09-02 2.4 2.42 2.35 2.36 681600 2.36
2014-09-03 2.37 2.4 2.19 2.21 1690400 2.21
2014-09-04 2.2 2.29 2.14 2.15 1435100 2.15
2014-09-05 2.14 2.19 2.12 2.16 1080100 2.16
2014-09-08 2.15 2.24 2.05 2.09 1857400 2.09
2014-09-09 2.07 2.19 2.06 2.12 1248500 2.12
2014-09-10 2.13 2.13 1.97 2.03 2006100 2.03
2014-09-11 2 2.09 1.99 2.07 865400 2.07
2014-09-12 2.09 2.12 2.01 2.02 1194500 2.02
2014-09-15 2.02 2.03 1.95 2.01 860100 2.01
2014-09-16 1.99 2.1 1.99 2.03 1109400 2.03
2014-09-17 2.02 2.05 1.92 1.97 1272000 1.97
2014-09-18 1.97 2.02 1.94 1.96 735600 1.96
2014-09-19 2 2.01 1.79 1.89 2780900 1.89
2014-09-22 1.87 1.88 1.75 1.77 1165200 1.77
2014-09-23 1.84 2.24 1.84 2.07 5187000 2.07
2014-09-24 2.03 2.06 1.87 1.91 2299000 1.91
2014-09-25 1.9 1.97 1.8 1.92 1404900 1.92
2014-09-26 1.92 1.96 1.9 1.94 553900 1.94
2014-09-29 1.93 1.94 1.75 1.81 2578900 1.81
2014-09-30 1.82 1.88 1.66 1.86 4881600 1.86
2014-10-01 1.86 1.99 1.83 1.88 2857900 1.88
2014-10-02 1.89 2.11 1.88 1.96 1878600 1.96
2014-10-03 1.97 2.07 1.96 2.06 799000 2.06
2014-10-06 2.06 2.07 1.88 1.94 961100 1.94
2014-10-07 1.92 1.95 1.82 1.84 555700 1.84
2014-10-08 1.87 1.94 1.75 1.9 849500 1.9
2014-10-09 1.88 1.92 1.79 1.83 778000 1.83
2014-10-10 1.8 1.82 1.56 1.77 1514000 1.77
2014-10-13 1.73 1.78 1.65 1.73 557100 1.73
2014-10-14 1.76 1.78 1.62 1.66 808700 1.66
2014-10-15 1.63 1.78 1.59 1.75 807500 1.75
2014-10-16 1.74 1.93 1.72 1.9 1179900 1.9
2014-10-17 1.94 2 1.9 1.98 829500 1.98
2014-10-20 1.97 2.04 1.89 1.92 383900 1.92
